"交易
日期",開盤,最高,最低,收盤,漲跌,"漲跌
(%)",成交資料,,,,法人買賣超(張),,,,"外資
持股
(%)",融資(張),,融券(張),,"券資
比
(%)"
,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,,增減,餘額,增減,餘額,
07/02,18.1,18.35,17.85,18.2,+1.25,+7.37%,"162,123","22,546",7.2,29.5,"-11,503",+98,-833,"-12,238",52.6,"-4,306","88,418","+2,537","3,604",4.1
06/29,16.95,16.95,16.95,16.95,0,0%,0,0,0,,,,,,52.7,-3,"92,724",0,"1,067",1.2
06/28,17.35,17.35,16.9,16.95,-0.65,-3.69%,"70,476","10,331",6.8,12.1,"-14,376","-4,096","-1,622","-20,094",52.7,"+1,127","92,727",-653,"1,067",1.2
06/27,17.7,18,17.5,17.6,0,0%,"52,024","8,755",5.9,9.2,"-15,711",+17,"+1,859","-13,835",52.8,-543,"91,600",+9,"1,720",1.9
06/26,17.5,17.65,17.4,17.6,-0.2,-1.12%,"30,096","5,801",5.2,5.3,"-1,589",0,"-1,193","-2,782",52.9,-332,"92,143",-632,"1,711",1.9
06/25,17.75,17.85,17.4,17.8,0,0%,"31,182","5,851",5.3,5.5,"-2,083",+200,-816,"-2,699",53,"-1,047","92,475",+451,"2,343",2.5
06/22,17.5,17.9,17.2,17.8,+0.15,+0.85%,"58,142","9,959",5.8,10.2,"-2,930",-13,-64,"-3,007",53,"+1,936","93,522",+2,"1,892",2
06/21,18,18,17.65,17.65,-0.4,-2.22%,"49,753","12,388",4,8.8,"-16,746",-19,-161,"-16,926",53.2,"+3,114","91,586",-535,"1,890",2.1
06/20,18.2,18.25,17.65,18.05,-0.15,-0.82%,"90,050","13,311",6.8,16.2,-692,"+2,500",+602,"+2,410",53.4,"-1,587","88,472",-510,"2,425",2.7
06/19,18.45,18.5,18.2,18.2,-0.45,-2.41%,"91,259","18,084",5,16.7,"+9,264","+5,110",-585,"+13,789",53.4,"-4,520","90,059",-293,"2,935",3.3
06/15,18,18.65,17.95,18.65,+0.55,+3.04%,"96,508","18,163",5.3,17.6,"+2,495","+6,047","+1,570","+10,112",53.4,"-4,979","94,579",+280,"3,228",3.4
06/14,18.35,18.55,17.9,18.1,-0.4,-2.16%,"181,043","25,223",7.2,33,"+18,703",-61,"-3,792","+14,850",53.2,"-11,749","99,558","-1,139","2,948",3
06/13,17.4,18.5,17.2,18.5,+1.65,+9.79%,"350,537","33,471",10.5,64.1,-638,"+5,455","+7,389","+12,206",53.1,"+36,033","111,307","+2,077","4,087",3.7
06/12,16.85,17,16.75,16.85,+0.05,+0.3%,"177,424","8,235",21.5,29.9,"-14,351",+443,"+1,917","-11,991",53.1,"+9,511","75,274",-26,"2,010",2.7
06/11,16.55,16.8,16.5,16.8,+0.4,+2.44%,"99,224","8,612",11.5,16.5,"+5,407",+119,"+4,078","+9,604",53.2,"+2,918","65,763",+357,"2,036",3.1
06/08,16.55,16.6,16.35,16.4,-0.2,-1.2%,"29,750","5,548",5.4,4.9,"-6,511",-22,-299,"-6,832",53.2,-673,"62,845",-36,"1,679",2.7
06/07,16.45,16.6,16.4,16.6,+0.2,+1.22%,"38,503","7,351",5.2,6.3,"+11,282",+290,+74,"+11,646",53.3,+217,"63,518",+57,"1,715",2.7
06/06,16.5,16.55,16.35,16.4,-0.1,-0.61%,"42,225","6,724",6.3,6.9,"-4,739",-20,"+1,137","-3,622",53.2,"+1,200","63,301",-73,"1,658",2.6
06/05,16.6,16.65,16.45,16.5,0,0%,"34,026","4,500",7.6,5.6,"+8,080","+1,481","-1,188","+8,373",53.2,-102,"62,101",+81,"1,731",2.8
06/04,16.5,16.55,16.4,16.5,+0.05,+0.3%,"33,404","4,993",6.7,5.5,+559,0,+575,"+1,134",53.2,"-3,021","62,203",-33,"1,650",2.7
06/01,16.65,16.7,16.4,16.45,-0.2,-1.2%,"52,547","6,335",8.3,8.7,+936,+462,-893,+505,53.2,"+1,145","65,224",-125,"1,683",2.6
05/31,16.55,16.65,16.4,16.65,+0.25,+1.52%,"97,296","12,957",7.5,16.1,"+4,418",-8,"+1,472","+5,882",53.2,"+5,610","64,079",+118,"1,808",2.8
05/30,16.3,16.7,16.25,16.4,-0.05,-0.3%,"54,574","8,952",6.1,9,"+2,685",-13,"+1,532","+4,204",53.1,-904,"58,469",-43,"1,690",2.9
05/29,16.5,16.6,16.35,16.45,+0.05,+0.3%,"33,254","6,586",5,5.5,"+2,761",0,+478,"+3,239",53.2,"+2,247","59,373",+9,"1,733",2.9
05/28,16.45,16.5,16.25,16.4,+0.15,+0.92%,"34,010","9,391",3.6,5.6,"+11,526",0,-643,"+10,883",53.1,"-1,266","57,126",-305,"1,724",3
05/25,16.2,16.3,16.15,16.25,+0.05,+0.31%,"25,392","7,847",3.2,4.1,"+13,215",0,+593,"+13,808",53,"-1,130","58,392",+27,"2,029",3.5
05/24,16.2,16.3,16.05,16.2,0,0%,"13,952","5,445",2.6,2.3,"+5,748",-12,"-1,725","+4,011",52.9,-480,"59,522",-62,"2,002",3.4
05/23,16.35,16.4,16.1,16.2,0,0%,"21,015","4,317",4.9,3.4,"+7,657",0,"-1,094","+6,562",52.9,"-6,011","60,002",-71,"2,064",3.4
05/22,16.25,16.65,16.2,16.2,+0.15,+0.93%,"43,275","8,517",5.1,7.1,"+13,288",0,"+2,635","+15,923",52.8,"+3,075","66,013",+220,"2,135",3.2
05/21,16.05,16.15,16,16.05,0,0%,"10,345","3,672",2.8,1.7,-232,0,+192,-40,52.7,+639,"62,938",-3,"1,915",3
05/18,16.15,16.15,15.95,16.05,0,0%,"22,129","4,592",4.8,3.5,"+4,665",-24,-331,"+4,310",52.8,-684,"62,299",+38,"1,918",3.1
